"Item","Plat","Status"
Axi S3 Intact,6,Online
Lith B4 Exceptional,2,Buying
Axi S3 Flawless,4,Offline
Sunika Kubrow Imprint,9,Online
Adarza Kavat Imprint,19,Online
Rubico Prime Barrel,2,Online
Meso S8 Flawless,6,Offline
Neo K2 Exceptional,-1,Unlisted
Axi O4 Intact,9,Online
Neo H2 Exceptional,-1,Unlisted
Neo K2 Flawless,-1,Unlisted
Lith C3 Flawless,-1,Unlisted
Neo G1 Exceptional,-1,Unlisted
Meso T3 Exceptional,-1,Unlisted
Meso S7 Radiant,-1,Unlisted
Meso S7 Intact,3,Online
Axi C3 Radiant,9,Offline
Lith C3 Exceptional,-1,Unlisted
Neo H2 Intact,5,Online
Primed Expel Grineer,68,Online
Primed Expel Corpus,361,Online
Primed Expel Infested,27,Online
Primed Expel Corrupted,27,Online
Lith Z2 Radiant,3,Offline
Lith P1 Flawless,-1,Unlisted
Meso B2 Flawless,-1,Unlisted
Meso B2 Intact,9,Online
Lith P1 Radiant,2,Offline
Lith T2 Intact,1,Offline
Energy Generator,49,Online
Mycona Colony Scene,34,Offline
Adorned Brickie,1,Offline
Magnificent Echowinder,0,Offline
Scarlet Hurricane,1,Offline
Basic Brickie,0,Offline
Magnificent Brickie,1,Offline
Vicious Approach,1,Offline
Adorned Mirewinder,0,Offline
Adorned Recaster,2,Online
Quaking Hand,1,Offline
Adorned Tromyzon,1,Online
Basic Charamote,1,Online
Basic Tromyzon,1,Online
Frost Jaw,4,Online
Basic Echowinder,1,Online
Flame Gland,8,Online
Adorned Synathid,2,Online
Adorned Sapcaddy,0,Offline
Dividing Blades,1,Offline
Shock Collar,29,Online
Basic Sapcaddy,0,Offline
Adorned Kriller,2,Online
Radiant Zodian,1,Online
Magnificent Mirewinder,1,Offline
Basic Recaster,1,Online
Biting Piranha,1,Offline
Adorned Tink,0,Offline
Adorned Echowinder,1,Offline
Smooth Phasmin,0,Online
Magnificent Longwinder,2,Online
Magnificent Recaster,2,Online
Magnificent Tink,1,Offline
Adorned Longwinder,2,Online
Basic Kriller,2,Online
Adorned Scrubber,1,Online
Thrash Landing,29,Online
Meso B3 Flawless,-1,Unlisted
Pax Soar,3,Online
Redeemer Prime Blade,4,Online
Akjagara Prime Receiver,3,Online
Axi L3 Radiant,9,Offline
Kitgun Riven Mod (Veiled),8,Online
Spectrosiphon,13,Online
Meso S9 Exceptional,-1,Unlisted
Wolf Sledge Head,1,Online
Wolf Sledge Set,64,Online
Meso S9 Flawless,-1,Unlisted
Orb Vallis Scene,49,Online
Axi K5 Exceptional,-1,Unlisted
Meso E2 Exceptional,-1,Unlisted
Axi L4 Radiant,49,Offline
Neo V8 Intact,9,Offline
Lith O2 Intact,9,Offline
Motus Impact,3,Online
Aero Vantage,3,Online
Motus Setup,4,Online
Gale Kick,19,Online
Motus Signal,2,Online
Deck 12 Scene,9,Online
Ninkondi Prime Blueprint,1,Online
Zhuge Prime Barrel,8,Online
Zhuge Prime Grip,3,Online
Wukong Prime Chassis,4,Online
Ninkondi Prime Handle,12,Online
Ninkondi Prime Set,39,Online
Wukong Prime Blueprint,17,Online
Wukong Prime Systems,16,Online
Zhuge Prime String,4,Online
Zhuge Prime Blueprint,3,Online
Ninkondi Prime Chain,2,Online
Zhuge Prime Receiver,13,Online
Wukong Prime Set,57,Online
Zhuge Prime Set,33,Online
Scindo Prime Handle,4,Online
Wukong Prime Neuroptics,4,Online
Ruinous Extension,7,Online
Meso A2 Flawless,-1,Unlisted
Savagery,3,Online
Axi M1 Exceptional,-1,Unlisted
Expel Infested,2,Online
Axi P1 Exceptional,-1,Unlisted
Lith S3 Exceptional,-1,Unlisted
Gas City Alad's Laboratory Scene,9,Online
Gas City Cloud Vista Scene,4,Online
Neo V4 Flawless,-1,Unlisted
Axi G2 Intact,5,Offline
Warrior,1,Offline
Combustion Rounds,8,Online
Meso S5 Exceptional,-1,Unlisted
Axi D1 Radiant,9,Offline
Sniper Ammo Mutation,3,Online
Pistol Gambit,0,Offline
Neo B1 Exceptional,-1,Unlisted
Lith V3 Flawless,-1,Unlisted
Meso N7 Intact,2,Online
Meso M1 Exceptional,-1,Unlisted
Blind Rage,18,Online
Neo R2 Flawless,-1,Unlisted
Axi G2 Exceptional,-1,Unlisted
Rifle Ammo Mutation,3,Online
Meso A2 Radiant,-1,Unlisted
Neo N5 Intact,14,Offline
Axi H1 Flawless,-1,Unlisted
Meso F1 Exceptional,-1,Unlisted
Magnum Force,4,Online
Axi D1 Flawless,-1,Unlisted
Neo B3 Intact,19,Offline
Meso N7 Radiant,14,Online
Neo A1 Intact,11,Online
Lith N1 Exceptional,-1,Unlisted
Gleaming Blight,13,Online
Vile Precision,1,Online
Meso N4 Radiant,3,Buying
Parallax Scope,1,Online
Lith N2 Radiant,14,Offline
Vitality,0,Online
Axi H1 Exceptional,-1,Unlisted
Neo T1 Exceptional,-1,Unlisted
Neo S6 Exceptional,-1,Unlisted
Sniper Scavenger,7,Online
Barrel Diffusion,3,Online
Whirlwind,3,Online
Antitoxin,3,Online
Disruptor,0,Offline
Heavy Caliber,14,Online
Piercing Hit,4,Online
Continuity,6,Online
Neo V5 Flawless,-1,Unlisted
Axi E2 Radiant,24,Offline
Axi O1 Flawless,-1,Unlisted
Neo S5 Intact,2,Offline
Neo N6 Flawless,-1,Unlisted
Lith C1 Exceptional,-1,Unlisted
Lith V3 Exceptional,19,Offline
Tainted Clip,1,Online
Neo N6 Exceptional,-1,Unlisted
Freeze Force,9,Online
Neo N5 Radiant,54,Offline
Swirling Tiger,1,Online
Shock Trooper,9,Online
Axi B1 Radiant,-1,Unlisted
Quick Thinking,9,Online
Neo V5 Intact,3,Online
Flow,1,Online
Neo A1 Flawless,-1,Unlisted
Neo V2 Flawless,-1,Unlisted
Blazing Steel,13,Online
Meso S4 Radiant,34,Offline
Critical Deceleration,1,Online
Neo V3 Flawless,-1,Unlisted
Fired Up,1,Online
Axi V4 Flawless,-1,Unlisted
Expel Corpus,13,Online
Axi A2 Intact,19,Online
Ember Prime Neuroptics,13,Online
Loki Prime Blueprint,7,Online
Shattering Storm,8,Online
Meso O1 Exceptional,-1,Unlisted
Lingering Torment,1,Online
Imperator Vandal Barrel,14,Online
Meso N5 Intact,14,Online
Ember Prime Chassis,15,Online
Hammer Shot,39,Online
Lith V4 Exceptional,9,Offline
Seeking Force,2,Online
Lith B2 Exceptional,-1,Unlisted
Target Cracker,6,Online
Meso C3 Radiant,-1,Unlisted
Axi V6 Radiant,5,Offline
Fleeting Expertise,18,Online
Critical Delay,3,Online
Provoked,8,Online
Spoiled Strike,3,Online
Incendiary Coat,2,Online
Meso S2 Radiant,39,Offline
Axi N5 Flawless,-1,Unlisted
Neo N7 Radiant,14,Offline
Neo H1 Exceptional,-1,Unlisted
Neo S7 Exceptional,-1,Unlisted
Lith T1 Flawless,-1,Unlisted
Meso S2 Flawless,-1,Unlisted
Velocitus Stock,11,Online
Lith F1 Exceptional,-1,Unlisted
Neo V1 Exceptional,-1,Unlisted
Axi S1 Flawless,50,Offline
Rathbone Handle,10,Online
Rathbone Head,14,Online
Latron Wraith Barrel,12,Online
Latron Wraith Blueprint,9,Online
Latron Wraith Receiver,9,Online
Latron Wraith Stock,4,Online
Latron Wraith Set,27,Online
Territorial Aggression,1,Online
Swipe,2,Online
Pounce,2,Online
Sharpened Claws,1,Online
Sense Danger,3,Online
Bullet Dance,59,Online
Twin Vipers Wraith Blueprint,7,Online
Twin Vipers Wraith Link,8,Online
Split Chamber,2,Online
Lith H1 Intact,3,Offline
Twin Vipers Wraith Receivers,10,Online
Lith B2 Intact,2,Online
Neo Z3 Radiant,4,Online
Safeguard Switch,13,Online
Lith T1 Radiant,14,Offline
Twin Vipers Wraith Set,27,Online
Enemy Radar,24,Online
Nekros Prime Chassis,8,Online
Meso N5 Exceptional,-1,Unlisted
Meso A2 Exceptional,-1,Unlisted
Nekros Prime Neuroptics,39,Online
Neo N7 Intact,8,Offline
Lith B2 Flawless,-1,Unlisted
Lith V4 Radiant,-1,Unlisted
Lith G1 Radiant,11,Offline
Draining Gloom,3,Offline
Heated Charge,2,Online
Gas City Elemental Refinement Scene,1,Offline
Hellfire,3,Online
Precision Munition,3,Offline
Eagle Eye,3,Online
Gas City Lobby Scene,2,Offline
Argon Plating,1,Online
Neo S6 Flawless,-1,Unlisted
System Reroute,9,Online
Neo Z3 Flawless,-1,Unlisted
North Wind,0,Online
Lith N2 Flawless,-1,Unlisted
Axi R1 Intact,39,Offline
Lith B1 Intact,18,Offline
Meso F1 Intact,24,Online
Axi E2 Intact,3,Offline
Neo V2 Exceptional,-1,Unlisted
Lith S6 Exceptional,-1,Unlisted
Lith V3 Radiant,-1,Unlisted
Axi A2 Radiant,9,Online
Small Yogwun,1,Online
Shotgun Scavenger,4,Online
Synoid Gammacor,49,Online
Helios Prime Set,44,Online
Rakta Ballistica,29,Online
Gorgon Wraith Receiver,2,Online
Hydroid Prime Neuroptics,6,Online
Corpus Void Key,999,Online
Wyrm Prime Blueprint,7,Online
Wyrm Prime Carapace,28,Online
Healing Flame,11,Online
Shield Overload,34,Offline
Atlantis Vulcan,3,Online
Arcane Pulse,2,Online
Prisma Tetra,59,Online
Calculated Shot,16,Offline
Arc Coil,3,Offline
Chaos Sphere,14,Online
Hysterical Fixation,34,Offline
Sonic Fracture,13,Online
Defiled Reckoning,34,Offline
Neo H1 Radiant,19,Offline
Hikou Prime Set,48,Online
Neo S8 Intact,2,Offline
Axi V6 Flawless,-1,Unlisted
Paris Prime Set,7,Online
Axi N4 Flawless,-1,Unlisted
Trinity Prime Set,98,Online
Disarming Purity,19,Online
Vigilante Armaments,4,Online
Sybaris Prime Blueprint,2,Online
Medium Cuthol,1,Online
Beguiling Lantern,9,Online
Ballistica Prime Set,24,Online
Virtuos Fury,4,Online
Virtuos Null,4,Online
Virtuos Tempo,6,Online
Exodia Force,9,Online
Virtuos Ghost,8,Online
Chromatic Blade,9,Online
Expel Corrupted,14,Online
Gladiator Aegis,3,Online
Neutralizing Justice,9,Online
Small Tralok,0,Offline
Large Goopolla,0,Offline
Large Murkray,2,Online
Vigilante Fervor,3,Online
Gorgon Wraith Stock,2,Online
Ankyros Prime Blade,8,Online
Ballistica Prime String,4,Online
Ankyros Prime Gauntlet,12,Online
Furax Wraith Set,13,Online
Tear Azurite,0,Online
Bo Prime Blueprint,9,Online
Silva & Aegis Prime Guard,19,Online
Vicious Frost,8,Online
Jagged Edge,2,Online
Medium Mortus Lungfish,1,Online
Dead Eye,19,Online
Shotgun Riven Mod (Veiled),44,Online
Shield Disruption,9,Online
Melee Riven Mod (Veiled),39,Online
Corrosive Projection,13,Online
Pistol Riven Mod (Veiled),6,Online
Spring-Loaded Blade,64,Online
Heavy Trauma,1,Online
Kinetic Diversion,49,Online
Power Throw,1,Online
Fateful Truth,1,Offline
Overextended,17,Online
Magus Cadence,7,Online
Magus Vigor,2,Online
Exodia Valor,79,Online
Exodia Brave,14,Online
Exodia Hunt,7,Online
Exodia Triumph,9,Online
Magus Nourish,5,Online
Virtuos Shadow,2,Online
Ember Prime Systems,28,Online
Frost Prime Chassis,10,Online
Rhino Prime Systems,5,Online
Ember Prime Blueprint,46,Online
Malignant Force,4,Online
Eroding Blight,11,Online
Superior Defenses,1,Online
Energy Inversion,4,Online
Shattering Justice,9,Online
Fast Hands,0,Online
Polar Magazine,2,Online
Deadly Sequence,13,Online
Rifle Amp,9,Online
Spare Parts,1,Online
No Return,0,Offline
Vaporize,2,Online
Vicious Spread,4,Online
Enemy Sense,2,Online
Fever Strike,2,Online
Sawtooth Clip,1,Online
Protect,4,Online
Gilded Truth,13,Online
Link Armor,8,Online
Sure Footed,13,Online
Bleeding Willow,1,Online
Undying Will,1,Online
Iron Phoenix,2,Online
Pointed Wind,3,Online
Stabilizer,2,Online
Rifle Scavenger,7,Online
Quickening,7,Online
Rubedo-Lined Barrel,1,Online
Sundering Strike,1,Online
Gemini Cross,0,Online
Rupture,0,Offline
Stormbringer,2,Online
Crossing Snakes,0,Online
Rejuvenation,19,Online
Dig,2,Online
Shredder,0,Offline
Shotgun Spazz,2,Online
Charged Chamber,2,Online
Arcane Essence Loki Helmet,148,Online
Continuous Misery,1,Offline
Vasto Prime Set,48,Online
Arcane Avalon Excalibur Helmet,49,Online
Thermite Rounds,8,Online
Arcane Flux Nova Helmet,0,Online
Telos Akbolto,24,Online
Arcane Aura Trinity Helmet,158,Online
Sancti Castanas,24,Online
Rift Strike,8,Online
Vulcan Blitz,9,Online
Arcane Gambit Vauban Helmet,64,Online
Arcane Vanguard Rhino Helmet,448,Online
Fomorian Accelerant,18,Online
Primed Flow,54,Online
Imperator Vandal Blueprint,8,Online
Primed Pistol Mutation,368,Online
Arcane Pendragon Excalibur Helmet,418,Online
Prisma Veritux,79,Online
Lith K1 Exceptional,-1,Unlisted
Arcane Chlora Saryn Helmet,174,Online
Resonance,13,Online
Total Eclipse,11,Online
Axi H2 Flawless,-1,Unlisted
Arcane Swindle Loki Helmet,194,Online
Tidal Impunity,99,Online
Arcane Locust Ash Helmet,99,Online
Ballistic Bullseye,9,Online
Arcane Eruption,2,Online
Arcane Esprit Vauban Helmet,99,Online
Arcane Trickery,2,Online
Oberon Prime Neuroptics,18,Online
Volt Prime Neuroptics,54,Online
Arcane Phoenix Ember Helmet,149,Online
Ballistica Prime Lower Limb,2,Online
Volt Prime Chassis,32,Online
Marquise Veridos,0,Online
Arcane Reverb Banshee Helmet,74,Online
Volt Prime Blueprint,38,Online
Arcane Vespa Nyx Helmet,229,Online
Explosive Legerdemain,13,Online
Piercing Navigator,13,Online
Escape Velocity,14,Online
Smite Corrupted,19,Online
Arcane Hemlock Saryn Helmet,74,Online
Vampire Leech,9,Online
Arcane Pulse Volt Helmet,199,Online
Gladiator Vice,38,Online
Piercing Caliber,22,Online
Tempo Royale,19,Online
Vigilante Pursuit,3,Online
Arcane Coil Mag Helmet,49,Online
Arcane Meridian Trinity Helmet,99,Online
Augur Accord,3,Online
Purging Slash,34,Offline
Arcane Gauss Mag Helmet,134,Online
Arcane Backdraft Ember Helmet,49,Online
Breach Loader,7,Online
Radian Sentirum,1,Online
Ancient Fusion Core,49,Offline
Furax Wraith Right Gauntlet,14,Online
Auger Strike,9,Online
Legendary Fusion Core,124,Online
Adhesive Blast,1,Online
Primed Continuity,54,Online
Helios Prime Cerebrum,33,Online
Concealed Explosives,6,Online
Primed Ravage,44,Online
Depleted Reload,2,Online
Helios Prime Carapace,4,Online
Wyrm Prime Systems,22,Online
Trinity Prime Neuroptics,19,Online
Mind Freak,13,Online
Small Mortus Lungfish,0,Online
Bo Prime Handle,8,Online
Bo Prime Ornament,38,Online
Fang Prime Handle,2,Online
Dual Kamas Prime Blueprint,4,Online
Gaia's Tragedy,1,Online
Latron Prime Barrel,9,Online
Primed Shotgun Ammo Mutation,288,Online
Orthos Prime Blade,1,Online
Arcane Tempo,0,Online
Paris Prime Lower Limb,1,Online
Arcane Velocity,5,Online
Dera Vandal Receiver,9,Online
Nyx Prime Blueprint,7,Online
Dera Vandal Stock,7,Online
Karak Wraith Blueprint,9,Online
Karak Wraith Barrel,19,Online
Loki Prime Systems,189,Online
Madurai Lens,7,Online
Nyx Prime Systems,7,Online
Zenurik Lens,7,Online
Naramon Lens,2,Online
Unairu Lens,6,Online
Agility Drift,1,Online
Swing Line,99,Online
Coaction Drift,4,Online
Cunning Drift,9,Online
Endurance Drift,1,Online
Abating Link,14,Online
Power Drift,4,Online
Speed Drift,14,Online
Hallowed Eruption,13,Online
Stealth Drift,1,Online
Rhino Prime Chassis,18,Online
Cutting Edge,2,Online
Iron Shrapnel,9,Online
Akbronco Prime Set,13,Online
Contagious Spread,7,Online
Arcane Agility,1,Online
Piercing Roar,11,Online
Ankyros Prime Set,59,Online
Carrier Prime Set,39,Online
Vile Acceleration,8,Online
Hushed Invisibility,11,Online
Dakra Prime Set,29,Online
Pilfering Swarm,12,Online
Diamond Skin,0,Online
Dera Vandal Set,19,Online
Bite,13,Online
Dual Kamas Prime Set,228,Online
Shotgun Savvy,9,Online
Afterburn,6,Online
Rising Storm,13,Online
Ember Prime Set,124,Online
Redirection,1,Online
Fang Prime Set,14,Online
Chilling Globe,11,Online
Swift Deth,0,Offline
Mag Prime Set,99,Online
Exothermic,9,Online
Toxic Sequence,99,Online
Measured Burst,2,Offline
Volcanic Edge,4,Online
Odonata Prime Harness,9,Online
Secondary Wind,2,Offline
Odonata Prime Systems,6,Online
Point Strike,1,Online
Soaring Strike,2,Offline
Pummel,3,Online
Sudden Justice,2,Online
Vigor,8,Online
Perpetual Agony,0,Offline
Tactical Retreat,2,Offline
Seeker,2,Online
Crash Course,3,Online
Streamline,1,Online
Triple Tap,3,Offline
Malicious Raptor,9,Online
Shield of Shadows,9,Online
Hollow Point,1,Online
Enduring Strike,4,Online
Vital Systems Bypass,14,Online
Insulation,4,Online
Bright Purity,14,Online
Singularity,34,Offline
Armored Acrobatics,24,Offline
Lethal Momentum,2,Online
Primed Bane of Infested,69,Online
Primed Bane of Corpus,134,Online
Carrier Prime Blueprint,6,Online
Vulpine Mask,2,Online
Primed Bane of Grineer,68,Online
Vectis Prime Barrel,6,Online
Blood Rush,18,Online
Armored Agility,2,Online
Body Count,9,Online
Arcane Deflection,1,Online
Tactical Pump,2,Online
Weeping Wounds,64,Online
Akbronco Prime Link,2,Online
Vermillion Storm,9,Online
Maiming Strike,98,Online
Investigator,5,Offline
Firewalker,1,Online
Hydraulic Crosshairs,3,Online
Toxic Flight,1,Online
Laser Sight,9,Online
Smite Infested,1,Online
Venom Dose,9,Online
Rending Turn,2,Offline
Seismic Wave,9,Online
Dakra Prime Handle,8,Online
Hikou Prime Pouch,19,Online
Molten Impact,2,Online
Shrapnel Shot,3,Online
Expel Grineer,2,Online
Orthos Prime Handle,3,Online
Sequence Burn,99,Online
Pressurized Magazine,29,Online
Frigid Blast,7,Online
Reaper Prime Blade,17,Online
Rending Strike,2,Online
Ammo Stock,9,Online
Self Destruct,2,Online
Spring-Loaded Chamber,14,Online
Accelerated Blast,1,Online
Reaper Prime Blueprint,19,Online
Coolant Leak,7,Online
Scindo Prime Blueprint,4,Online
Tainted Shell,1,Online
Stinging Truth,13,Online
Repeater Clip,8,Online
Killing Blow,2,Online
Soma Prime Barrel,10,Online
Lith S2 Flawless,-1,Unlisted
Arcane Thrak Rhino Helmet,59,Online
Embedded Catalyzer,4,Online
Magma Chamber,64,Online
Arcane Menticide Nyx Helmet,79,Offline
Arcane Aurora Frost Helmet,74,Online
Soma Prime Blueprint,3,Online
Unleashed,3,Online
Vasto Prime Barrel,14,Online
Arcane Chorus Banshee Helmet,224,Online
Lith V1 Intact,9,Online
Vasto Prime Blueprint,19,Online
Entropy Flight,13,Online
Saryn Prime Set,98,Online
Eleventh Storm,2,Online
Lith V1 Flawless,-1,Unlisted
Nova Prime Neuroptics,7,Online
Antimatter Mine,14,Offline
Nova Prime Chassis,73,Online
Lith V1 Radiant,9,Offline
Prism Guard,34,Offline
Trick Mag,0,Offline
Meso B1 Intact,9,Online
Nova Prime Blueprint,7,Online
Deceptive Bond,29,Offline
Frost Prime Neuroptics,4,Online
Arcane Squall Frost Helmet,219,Online
Rebound,6,Online
Discharge Strike,34,Offline
Meso B1 Exceptional,-1,Unlisted
Arcane Storm Volt Helmet,219,Online
Reach,1,Online
Mag Prime Neuroptics,8,Online
Ward Recovery,34,Offline
Meso B1 Flawless,-1,Unlisted
Primed Point Blank,38,Online
Meso B1 Radiant,-1,Unlisted
Power of Three,34,Offline
Rhino Prime Neuroptics,17,Online
Primed Fast Hands,59,Online
Anti-Flak Plating,24,Offline
Primed Heated Charge,44,Online
Neutron Star,11,Online
Skull Shots (Viper),2,Offline
Loki Prime Neuroptics,14,Online
Prisma Gorgon,59,Online
Meso C1 Intact,19,Online
Brain Storm (Grakata),3,Offline
High Noon,9,Online
Scattered Justice,7,Online
Nyx Prime Neuroptics,39,Online
Loot Detector,18,Online
Repelling Bastille,17,Online
Ambush Optics (Rubico),3,Offline
Nyx Prime Chassis,8,Online
Capacitance,9,Online
Shell Compression,2,Online
Loki Prime Chassis,18,Online
Meso C1 Exceptional,-1,Unlisted
Bore,9,Online
Rhino Prime Blueprint,59,Online
Signal Flare,34,Offline
Brutal Tide,3,Online
Meso C1 Flawless,-1,Unlisted
Shrapnel Rounds (Marelok),3,Offline
Kinetic Collision,34,Offline
Steady Hands,1,Online
Tigris Prime Stock,3,Online
Funnel Clouds,10,Online
Thundermiter (Miter),1,Offline
Tigris Prime Receiver,6,Online
Ash Prime Blueprint,9,Online
Frost Prime Systems,17,Online
Finishing Touch,1,Online
Static Alacrity (Staticor),1,Offline
Ash Prime Chassis,5,Online
Tigris Prime Blueprint,39,Online
Emergent Aftermath,9,Online
Fortitude,2,Online
Ash Prime Systems,34,Online
Mag Prime Systems,9,Online
Prisma Grakata,63,Online
Spinning Needle,0,Online
Energy Conversion,41,Online
Arcane Resistance,3,Online
Lethal Torrent,7,Online
Broken War Blade,49,Online
Mobilize,1,Online
Lightning Dash,2,Online
Snipetron Vandal Stock,12,Online
Ice Spring,1,Online
Mag Prime Chassis,6,Online
Snipetron Vandal Set,34,Online
Battering Maneuver,4,Online
Hollowed Bullets,7,Online
Xiphos Fuselage,94,Offline
Bleeding Edge,8,Online
Piercing Step,4,Online
Mantis Fuselage,10,Online
Bladed Rounds,9,Online
Shred,3,Online
Mantis Avionics,0,Online
Serration,1,Online
Arcane Healing,2,Online
Scimitar Fuselage,3,Online
Lith S3 Flawless,-1,Unlisted
Quick Return,2,Online
Lightning Rod,0,Online
Arcane Warmth,1,Online
Axi G1 Exceptional,-1,Unlisted
Steel Charge,9,Online
Scimitar Engines,27,Online
Lith S6 Flawless,-1,Unlisted
Rage,6,Online
Detect Vulnerability,54,Online
Wildfire,1,Online
Bane of Grineer,3,Online
Lasting Sting,79,Online
Scimitar Avionics,6,Online
